iter	Passed	Remaining
193	651	2704
194	652	2693
195	653	2682
196	655	2671
197	656	2660
198	658	2650
199	660	2641
200	662	2632
201	663	2622
202	665	2611
203	666	2601
204	668	2591
205	669	2580
206	671	2570
207	672	2561
208	674	2553
209	676	2545
210	678	2535
211	679	2526
212	682	2520
213	683	2510
214	685	2501
215	686	2492
216	688	2482
217	690	2476
218	692	2468
219	693	2459
220	695	2450
221	696	2441
222	698	2432
223	699	2424
224	701	2415
225	702	2406
226	706	2404
227	707	2396
228	709	2387
229	710	2379
230	712	2370
231	713	2362
232	715	2354
233	716	2345
234	718	2338
235	726	2351
236	729	2347
237	730	2338
238	731	2330
239	733	2322
240	735	2317
241	737	2310
242	739	2302
243	740	2294
244	742	2287
245	743	2279
246	745	2271
247	746	2263
248	748	2256
249	750	2251
250	752	2244
251	753	2236
252	755	2229
253	756	2222
254	758	2214
255	759	2207
256	761	2200
257	762	2193
258	765	2190
259	767	2183
260	768	2176
261	770	2169
262	771	2162
263	773	2155
264	774	2148
265	776	2141
266	777	2134
267	779	2129
268	781	2123
269	782	2116
270	784	2111
271	786	2106
272	788	2099
273	789	2093
274	791	2086
275	792	2079
276	795	2076
277	797	2070
278	798	2064
279	800	2057
280	801	2052
281	803	2045
282	805	2039
283	806	2033
284	809	2030
285	811	2025
286	812	2019
287	814	2013
288	816	2007
289	817	2002
290	819	1996
291	820	1989
292	822	1984
293	824	1980
294	826	1974
295	827	1968
296	829	1963
297	830	1957
298	832	1951
299	833	1945
300	835	1939
301	836	1934
302	839	1930
303	840	1925
304	842	1919
305	843	1914
306	845	1908
307	846	1902
308	848	1897
309	849	1891
310	851	1886
311	854	1885
312	856	1880
313	858	1874
314	859	1869
315	861	1864
316	862	1858
317	864	1853
318	865	1848
319	868	1845
320	870	1841
321	872	1836
322	874	1833
323	876	1828
324	878	1823
325	879	1818
326	881	1813
327	882	1808
328	884	1804
329	886	1799
330	887	1794
331	889	1789
332	890	1784
333	892	1779
334	893	1774
335	895	1768
336	896	1764
337	898	1760
338	900	1755
339	902	1750
340	903	1746
341	904	1741
342	906	1736
343	907	1731
344	909	1726
345	910	1721
346	913	1718
347	914	1714
348	916	1709
349	917	1704
350	919	1699
351	920	1694
352	922	1690
353	923	1685
354	925	1680
355	926	1676
356	928	1673
357	930	1668
358	932	1664
359	933	1659
360	935	1655
361	936	1650
362	938	1646
363	939	1641
364	941	1638
365	943	1634
366	945	1630
367	946	1625
368	948	1621
369	949	1616
370	951	1612
371	952	1608
372	954	1604
373	957	1602
374	959	1599
375	960	1594
376	962	1590
377	963	1585
378	965	1581
379	966	1577
380	968	1573
381	969	1569
382	972	1565
383	973	1561
384	975	1557
385	977	1555
386	979	1551
387	980	1547
388	982	1542
389	983	1538
390	985	1534
391	987	1532
392	989	1528
393	990	1523
394	992	1519
395	993	1515
396	995	1511
397	996	1507
398	998	1503
399	999	1499
400	1002	1496
401	1003	1492
402	1005	1488
403	1006	1484
404	1008	1481
405	1009	1477
406	1011	1473
407	1012	1468
408	1014	1465
409	1016	1462
410	1018	1458
411	1019	1455
412	1021	1451
413	1022	1447
414	1023	1443
415	1025	1439
416	1026	1435
417	1028	1431
418	1031	1430
419	1033	1427
420	1034	1423
421	1036	1419
422	1037	1415
423	1039	1411
424	1040	1408
425	1042	1404
426	1043	1400
427	1046	1398
428	1048	1395
429	1049	1391
430	1051	1387
431	1052	1384
432	1054	1380
433	1055	1376
434	1057	1373
435	1058	1369
436	1060	1366
437	1062	1363
438	1064	1360
439	1066	1357
440	1068	1354
441	1069	1350
442	1071	1347
443	1072	1343
444	1074	1340
445	1076	1337
446	1078	1333
447	1079	1330
448	1081	1326
449	1082	1323
450	1083	1319
451	1085	1315
452	1086	1312
453	1092	1313
454	1094	1311
455	1096	1308
456	1098	1305
457	1100	1301
458	1101	1298
459	1103	1294
460	1105	1292
461	1107	1289
462	1108	1285
463	1110	1282
464	1111	1278
465	1113	1275
466	1114	1272
467	1116	1268
468	1117	1265
469	1120	1263
470	1122	1260
471	1123	1257
472	1125	1254
473	1126	1250
474	1128	1247
475	1129	1243
476	1131	1240
477	1132	1236
478	1135	1235
479	1137	1232
480	1140	1230
481	1141	1227
482	1143	1223
483	1144	1220
484	1146	1217
485	1148	1214
486	1150	1211
487	1151	1208
488	1153	1205
489	1155	1202
490	1157	1199
491	1158	1196
492	1160	1193
493	1161	1190
494	1164	1187
495	1165	1184
496	1167	1181
497	1169	1178
498	1170	1175
499	1172	1172
500	1173	1168
501	1174	1165
502	1176	1162
503	1178	1159
504	1180	1156
505	1181	1153
506	1183	1150
507	1184	1147
508	1186	1144
509	1187	1141
510	1189	1138
511	1190	1134
512	1192	1132
513	1194	1129
514	1196	1126
515	1197	1123
516	1199	1120
517	1200	1117
518	1202	1114
519	1203	1111
520	1205	1107
521	1206	1104
522	1208	1102
523	1210	1099
524	1212	1096
525	1213	1093
526	1215	1090
527	1216	1087
528	1218	1084
529	1219	1081
530	1221	1078
531	1224	1077
532	1226	1074
533	1227	1071
534	1229	1068
535	1230	1065
536	1232	1062
537	1233	1059
538	1234	1056
539	1237	1053
540	1239	1051
541	1240	1048
542	1242	1045
543	1244	1043
544	1246	1040
545	1247	1037
546	1249	1034
547	1250	1031
548	1253	1029
549	1255	1027
550	1256	1024
551	1258	1021
552	1259	1018
553	1261	1015
554	1262	1012
555	1264	1009
556	1265	1006
557	1269	1005
558	1271	1002
559	1272	1000
560	1274	997
561	1276	994
562	1277	991
563	1279	988
564	1280	986
565	1283	984
566	1285	981
567	1287	979
568	1288	976
569	1290	973
570	1291	970
571	1293	967
572	1294	964
573	1297	962
574	1298	960
575	1300	957
576	1302	954
577	1303	951
578	1304	948
579	1306	946
580	1307	943
581	1309	940
582	1311	937
583	1313	935
584	1315	932
585	1316	930
586	1317	927
587	1319	924
588	1320	921
589	1322	918
590	1323	915
591	1325	913
592	1328	911
593	1329	909
594	1331	906
595	1333	903
596	1334	900
597	1335	898
598	1337	895
599	1338	892
600	1340	890
601	1342	887
602	1344	885
603	1346	882
604	1348	880
605	1349	877
606	1351	875
607	1352	872
608	1355	869
609	1357	867
610	1358	865
611	1360	862
612	1361	859
613	1363	857
614	1364	854
615	1366	851
616	1368	849
617	1369	846
618	1372	844
619	1373	841
620	1375	839
621	1376	836
622	1378	834
623	1379	831
624	1381	828
625	1382	826
626	1384	823
627	1386	821
628	1388	819
629	1390	816
630	1391	813
631	1393	811
632	1394	808
633	1396	805
634	1397	803
635	1399	800
636	1401	798
637	1403	796
638	1404	793
639	1406	791
640	1407	788
641	1409	785
642	1410	783
643	1412	780
644	1413	778
645	1415	775
646	1417	773
647	1419	771
648	1421	768
649	1422	766
650	1424	763
651	1425	760
652	1427	758
653	1428	755
654	1430	753
655	1432	751
656	1435	749
657	1437	747
658	1439	744
659	1440	742
660	1442	739
661	1443	737
662	1445	734
663	1447	732
664	1449	730
665	1450	727
666	1452	725
667	1453	722
668	1455	720
669	1456	717
670	1458	715
671	1459	712
672	1462	710
673	1464	708
674	1466	705
675	1467	703
676	1469	700
677	1470	698
678	1472	695
679	1473	693
680	1475	691
681	1477	688
682	1479	686
683	1480	684
684	1482	681
685	1483	679
686	1485	676
687	1486	674
688	1488	671
689	1490	669
690	1492	667
691	1494	665
692	1495	662
693	1497	660
694	1498	657
695	1500	655
696	1501	652
697	1503	650
698	1505	648
699	1507	645
700	1508	643
701	1510	641
702	1513	639
703	1514	636
704	1516	634
705	1517	631
706	1519	629
707	1521	627
708	1523	625
709	1524	622
710	1526	620
711	1527	617
712	1529	615
713	1530	613
714	1532	610
715	1534	608
716	1535	606
717	1537	603
718	1539	601
719	1540	599
720	1542	596
721	1543	594
722	1545	592
723	1546	589
724	1549	587
725	1550	585
726	1552	583
727	1554	580
728	1555	578
729	1557	575
730	1558	573
731	1560	571
732	1561	568
733	1563	566
734	1566	564
735	1567	562
736	1569	560
737	1570	557
738	1572	555
739	1573	552
740	1575	550
741	1576	548
742	1579	546
743	1581	544
744	1583	541
745	1584	539
746	1586	537
747	1587	534
748	1589	532
749	1590	530
750	1592	528
751	1594	525
752	1596	523
753	1597	521
754	1600	519
755	1602	517
756	1603	514
757	1605	512
758	1606	510
759	1608	508
760	1610	505
761	1612	503
762	1613	501
763	1615	498
764	1616	496
765	1618	494
766	1619	492
767	1621	489
768	1623	487
769	1625	485
770	1626	483
771	1628	480
772	1629	478
773	1631	476
774	1632	473
775	1634	471
776	1635	469
777	1637	467
778	1639	465
779	1641	462
780	1642	460
781	1644	458
782	1645	456
783	1647	453
784	1648	451
785	1650	449
786	1652	447
787	1654	445
788	1656	442
789	1657	440
790	1659	438
791	1660	436
792	1661	433
793	1663	431
794	1664	429
795	1667	427
796	1669	425
797	1670	422
798	1672	420
799	1673	418
800	1675	416
801	1676	413
802	1677	411
803	1679	409
804	1682	407
805	1684	405
806	1685	403
807	1687	400
808	1688	398
809	1690	396
810	1691	394
811	1693	392
812	1695	389
813	1697	387
814	1698	385
815	1700	383
816	1702	381
817	1704	379
818	1705	376
819	1707	374
820	1708	372
821	1711	370
822	1713	368
823	1715	366
824	1717	364
825	1718	362
826	1720	359
827	1721	357
828	1723	355
829	1726	353
830	1728	351
831	1730	349
832	1731	347
833	1733	344
834	1734	342
835	1736	340
836	1737	338
837	1739	336
838	1741	334
839	1743	332
840	1744	329
841	1746	327
842	1747	325
843	1749	323
844	1750	321
845	1752	318
846	1753	316
847	1756	314
848	1758	312
849	1761	310
850	1762	308
851	1764	306
852	1765	304
853	1767	302
854	1768	299
855	1771	297
856	1772	295
857	1774	293
858	1775	291
859	1777	289
860	1778	287
861	1780	285
862	1781	282
863	1783	280
864	1785	278
865	1787	276
866	1788	274
867	1791	272
868	1793	270
869	1795	268
870	1796	266
871	1798	263
872	1802	262
873	1805	260
874	1807	258
875	1809	256
876	1810	253
877	1812	251
878	1814	249
879	1816	247
880	1817	245
881	1819	243
882	1821	241
883	1823	239
884	1824	237
885	1826	234
886	1827	232
887	1829	230
888	1831	228
889	1833	226
890	1835	224
891	1838	222
892	1839	220
893	1841	218
894	1842	216
895	1845	214
896	1846	212
897	1848	209
898	1850	207
899	1852	205
900	1853	203
901	1855	201
902	1856	199
903	1858	197
904	1861	195
905	1862	193
906	1864	191
907	1865	189
908	1867	186
909	1869	184
910	1870	182
911	1872	180
912	1874	178
913	1876	176
914	1878	174
915	1879	172
916	1882	170
917	1883	168
918	1885	166
919	1886	164
920	1888	161
921	1890	159
922	1892	157
923	1893	155
924	1895	153
925	1896	151
926	1898	149
927	1899	147
928	1901	145
929	1903	143
930	1905	141
931	1907	139
932	1908	137
933	1910	134
934	1911	132
935	1913	130
936	1915	128
937	1916	126
938	1920	124
939	1922	122
940	1923	120
941	1925	118
942	1927	116
943	1928	114
944	1930	112
945	1931	110
946	1936	108
947	1937	106
948	1939	104
949	1941	102
950	1942	100
951	1944	98
952	1945	95
953	1947	93
954	1952	91
955	1953	89
956	1955	87
957	1957	85
958	1959	83
959	1960	81
960	1962	79
961	1965	77
962	1967	75
963	1968	73
964	1970	71
965	1971	69
966	1973	67
967	1974	65
968	1976	63
969	1978	61
970	1980	59
971	1981	57
972	1983	55
973	1985	53
974	1987	50
975	1989	48
976	1990	46
977	1992	44
978	1994	42
979	1996	40
980	1998	38
981	1999	36
982	2001	34
983	2002	32
984	2004	30
985	2005	28
986	2007	26
987	2010	24
988	2011	22
989	2013	20
990	2014	18
991	2016	16
992	2018	14
993	2019	12
994	2021	10
995	2022	8
996	2025	6
997	2026	4
998	2028	2
999	2029	0
